030010160	宁河县		天津	NINGHE	030	天津	TIANJIN	天津	华北区	2015-08-10 17:33:18	2.0
030010170	静海县		天津	JINGHAI	030	天津	TIANJIN	天津	华北区	2015-08-10 17:33:18	2.0
030010180	蓟　县		天津	JIXIAN	030	天津	TIANJIN	天津	华北区	2015-08-10 17:33:18	2.0
030010190	大港油田		天津	DAGANGYOUTIAN	030	天津	TIANJIN	天津	华北区	2015-08-10 17:33:18	2.0
030010200	经济开发区		天津	JINGJIKAIFAQU	030	天津	TIANJIN	天津	华北区	2015-08-10 17:33:18	2.0
030010210	滨海新区		天津	BINHAIXINQU	030	天津	TIANJIN	天津	华北区	2015-08-10 17:33:18	2.0
040	重庆		重庆	CHONGQING	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010	重庆		重庆	CHONGQING	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010010	渝中区		重庆	YUZHONG	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010020	江北区		重庆	JIANGBEI	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010030	南岸区		重庆	NANAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010040	沙坪坝区		重庆	SHAPINGVA	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010050	九龙坡区		重庆	JIULONGPO	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010060	大渡口区		重庆	DADUKOU	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010070	北碚区		重庆	BEIBEI	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010080	巴南区		重庆	BANAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010090	渝北区		重庆	YUBEI	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010100	永川区		重庆	YONGCHUAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010110	涪陵区		重庆	FULING	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010120	合川区		重庆	HECHUAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010130	江津区		重庆	JIANGJIN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010140	长寿区		重庆	CHANGSHOU	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010150	双桥区		重庆	SHUANGQIAO	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010160	万盛区		重庆	WANSHENG	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010170	南川区		重庆	NANCHUAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010180	万州区		重庆	WANZHOU	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010190	黔江区		重庆	QIANJIANG	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010200	綦江县		重庆	QIJIANGXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010210	潼南县		重庆	TONGNANXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010220	铜梁县		重庆	TONGLIANGXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010230	大足县		重庆	DAZUXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010240	荣昌县		重庆	RONGCHANGXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010250	璧山县		重庆	BISHANXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010260	垫江县		重庆	DIANJIANGXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010270	武隆县		重庆	WULONGXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010280	丰都县		重庆	FENGDOUXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010290	城口县		重庆	CHENGKOUXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010300	梁平县		重庆	LIANGPINGXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010310	开县		重庆	KAIXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010320	巫溪县		重庆	WUXIXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010330	巫山县		重庆	WUSHANXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010340	奉节县		重庆	FENGJIEXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010350	云阳县		重庆	YUNYANGXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010360	忠县		重庆	ZHONGXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010370	石柱		重庆	SHIZHU	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010380	彭水		重庆	PENGSHUI	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010390	酉阳		重庆	YOUYANG	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010400	秀山		重庆	XIUSHAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010410	石柱土家族自治县		重庆	SHIZHUTUJIAZUZIZHIXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
040010420	秀山土家族苗族自治县		重庆	XIUSHANTUJIAZUMIAOZUZIZHIXIAN	040	重庆	CHONGQING	重庆	西南区	2015-08-10 17:33:18	2.0
050	广东省		广东省	GUANGDONG	050	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050010	广东省		广东省	GUANGDONG	050	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050020	广州		广州	GUANGZHOU	050	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050020010	白云区		广州	BAIYUN	050020	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050020020	天河区		广州	TIANHE	050020	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050020030	越秀区		广州	YUEXIU	050020	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050020040	海珠区		广州	ZHUHAI	050020	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050020050	黄埔区		广州	HUANGPU	050020	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050020060	新荔湾区		广州	XINLIWAN	050020	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050020070	番禺区		广州	FANYU	050020	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050020080	花都区		广州	HUADU	050020	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050020090	萝岗区		广州	LUOGANG	050020	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050020100	南沙区		广州	NANSHA	050020	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050020110	从化市		广州	CONGHUA	050020	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
